,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO,Indian_cities,Department_in_india
13,14,Berkshire Hathaway,Insurance: Property and Casualty (Stock),3555 Farnam St.,Omaha,Nebraska,68131,U.S.,"$276,094",372000.0,BRKA,www.berkshirehathaway.com,Warren E. Buffett,[],"['Berkshire Hathaway does not have offices or hire directly in India. However, some of its subsidiaries, like GEICO and Dairy Queen, might have operations or hiring opportunities in India.']"
14,15,Shell,Petroleum Refining,Shell Center,London,Britain,SE1 7NA,Britain,"$272,657",82000.0,SHEL,www.shell.com,Ben Van Beurden,"['Mumbai', 'New Delhi', 'Bengaluru', 'Chennai', 'Kolkata', 'Hyderabad', 'Pune', 'Ahmedabad', 'Gurgaon']","['Upstream', 'Downstream', 'Integrated Gas', 'Renewables & Energy Solutions', 'Corporate Functions']"
15,16,McKesson,Wholesalers: Health Care,6555 State Hwy. 161,Irving,Texas,75039,U.S.,"$263,966",66500.0,MCK,www.mckesson.com,Brian S. Tyler,"['Bangalore', 'Hyderabad', 'Mumbai', 'Chennai', 'Gurgaon']","['Technology', 'Finance', 'Operations', 'Human Resources', 'Sales and Marketing']"
16,17,Alphabet,Internet Services and Retailing,1600 Amphitheatre Pkwy.,Mountain View,California,94043,U.S.,"$257,637",156500.0,GOOGL,www.abc.xyz,Sundar Pichai,"['Bangalore', 'Hyderabad', 'Gurgaon']","['Google Cloud', 'Google Search', 'Google Assistant', 'Google Maps', 'Google Pay', 'YouTube', 'Waymo', 'DeepMind', 'X']"
17,18,Samsung Electronics,"Electronics, Electrical Equip.",129 Samsung-ro,"Suwon, Gyeonggi-do",South Korea,16677,South Korea,"$244,335",266673.0,,www.samsung.com,,"['Bangalore', 'New Delhi', 'Gurgaon', 'Noida', 'Hyderabad', 'Chennai', 'Pune']","['Research and Development', 'Manufacturing', 'Sales and Marketing', 'Customer Service', 'Human Resources', 'Finance', 'Legal', 'IT']"
18,19,Trafigura Group,Trading,10 Collyer Quay,Singapore,Singapore,049315,Singapore,"$231,308",9031.0,,www.trafigura.com,Jeremy Weir,"['Mumbai', 'New Delhi']","['Trading', 'Operations', 'Finance', 'Legal', 'Human Resources', 'Information Technology', 'Sustainability']"
19,20,Hon Hai Precision Industry,"Electronics, Electrical Equip.",66 Zhongshan Rd.,New Taipei City,Taiwan,00236,Taiwan,"$214,619",826608.0,HNHPF,www.foxconn.com,,"['Bengaluru', 'Chennai', 'Hyderabad', 'Pune', 'New Delhi']","['Manufacturing', 'Engineering', 'Research and Development', 'Sales and Marketing', 'Human Resources', 'Finance']"
20,21,AmerisourceBergen,Wholesalers: Health Care,1 West First Ave.,Conshohocken,Pennsylvania,19428,U.S.,"$213,989",40000.0,ABC,www.amerisourcebergen.com,Steven H. Collis,[],['AmerisourceBergen does not have any offices in India and therefore does not hire in India.']
21,22,Industrial & Commercial Bank of China,Banks: Commercial and Savings,55 Fuxingmennei Ave.,Beijing,China,100140,China,"$209,000",434089.0,IDCBY,www.icbc-ltd.com,Gu Shu,"['Mumbai', 'New Delhi']","['Corporate Banking', 'Trade Finance', 'Investment Banking', 'Treasury']"
22,23,Glencore,"Mining, Crude-Oil Production",Baarermattstrasse 3,Baar,Switzerland,06340,Switzerland,"$203,751",81284.0,GLNCY,www.glencore.com,Ivan Glasenberg,"['Mumbai', 'New Delhi', 'Kolkata', 'Bangalore']","['Trading', 'Marketing', 'Finance', 'Operations', 'Human Resources']"
23,24,China Construction Bank,Banks: Commercial and Savings,25 Finance St.,Beijing,China,100033,China,"$200,434",375531.0,CICHY,www.ccb.com,Tian Guoli,[],['China Construction Bank does not have offices or hire in India.']
24,25,Ping An Insurance,"Insurance: Life, Health (Stock)",5033 Yitian Rd.,Shenzhen,China,518033,China,"$199,629",355982.0,PNGAY,www.group.pingan.com,Xie Yonglin,[],['Ping An Insurance does not have offices in India and does not hire there.']
25,26,Costco Wholesale,General Merchandisers,999 Lake Dr.,Issaquah,Washington,98027,U.S.,"$195,929",288000.0,COST,www.costco.com,W. Craig Jelinek,[],[]
26,27,TotalEnergies,Petroleum Refining,2 Place Jean Millier,Courbevoie,France,92400,France,"$184,634",101309.0,TTE,www.totalenergies.com,Patrick Pouyanne,"['Mumbai', 'New Delhi', 'Chennai', 'Kolkata', 'Bengaluru']","['Exploration & Production', 'Gas, Renewables & Power', 'Marketing & Services']"
27,28,Agricultural Bank of China,Banks: Commercial and Savings,69 Jianguomen Nei Ave.,Beijing,China,100005,China,"$181,412",455174.0,ACGBY,www.abchina.com,Qingsong Zhang,[],[]
28,29,Stellantis,Motor Vehicles & Parts,Taurusavenue 1,Hoofddorp,Netherlands,02132,Netherlands,"$176,663",281595.0,STLA,www.stellantis.com,Carlos Tavares,"['Pune', 'Chennai', 'Gurgaon']","['Engineering', 'IT', 'Finance', 'Human Resources', 'Sales and Marketing']"
29,30,Cigna,Health Care: Pharmacy and Other Services,900 Cottage Grove Rd.,Bloomfield,Connecticut,06002,U.S.,"$174,078",72963.0,CI,www.cigna.com,David M. Cordani,"['Bangalore', 'Hyderabad', 'Gurgaon', 'Mumbai', 'Chennai']","['Technology', 'Operations', 'Finance', 'Human Resources', 'Sales', 'Marketing']"
30,31,Sinochem Holdings,Chemicals,28 Fuxingmennei St.,Beijing,China,100031,China,"$172,260",220760.0,,www.sinochem.com,Ning Gaoning,[],"[""Sinochem Holdings does not currently have offices in India, so it is unlikely to be actively hiring there. However, it's always a good idea to check their official website for any job openings or recruitment announcements.""]"
31,32,AT&T,Telecommunications,208 S. Akard St.,Dallas,Texas,75202,U.S.,"$168,864",202600.0,T,www.att.com,John T. Stankey,"['Bangalore', 'Gurgaon', 'Hyderabad']","['Engineering', 'Technology', 'Customer Service', 'Sales', 'Finance']"
32,33,Microsoft,Computer Software,1 Microsoft Way,Redmond,Washington,98052,U.S.,"$168,088",181000.0,MSFT,www.microsoft.com,Satya Nadella,"['Bangalore', 'Hyderabad', 'Chennai', 'Gurgaon', 'Pune', 'Mumbai', 'New Delhi']","['Engineering', 'Sales & Marketing', 'Finance', 'Operations', 'Human Resources', 'Customer Support']"
33,34,China Railway Engineering Group,Engineering & Construction,128 Nansihuan W. Rd.,Beijing,China,100160,China,"$166,452",310817.0,,www.crecg.com,Chen Wenjian,[],"['China Railway Engineering Group does not have any offices in India, therefore, it does not hire in India.']"
34,35,BP,Petroleum Refining,1 St. James's Sq.,London,Britain,SW1Y 4PD,Britain,"$164,195",65900.0,BP,www.bp.com,Bernard Looney,"['Mumbai', 'New Delhi', 'Bengaluru']","['Exploration & Production', 'Upstream', 'Downstream', 'Gas Marketing & Trading', 'Renewables']"
35,36,Cardinal Health,Wholesalers: Health Care,7000 Cardinal Place,Dublin,Ohio,43017,U.S.,"$162,467",46827.0,CAH,www.cardinalhealth.com,Mike Kaufmann,"['Mumbai', 'Gurgaon']","['Supply Chain', 'Finance', 'Information Technology', 'Human Resources']"
36,37,Chevron,Petroleum Refining,6001 Bollinger Canyon Rd.,San Ramon,California,94583,U.S.,"$162,465",42595.0,CVX,www.chevron.com,Michael K. Wirth,"['Mumbai', 'New Delhi', 'Bengaluru', 'Chennai', 'Hyderabad']","['Upstream', 'Downstream', 'Chemicals', 'Midstream', 'Renewables']"
37,38,Mercedes-Benz Group,Motor Vehicles & Parts,Mercedesstrasse 120,Stuttgart,Germany,70372,Germany,"$158,306",172425.0,DMLRY,group.mercedes-benz.com,Ola Källenius,"['Mumbai', 'Pune', 'Chennai', 'Bangalore', 'Delhi']","['Sales & Marketing', 'After Sales', 'Finance', 'Human Resources', 'IT', 'Production', 'Engineering']"
38,39,China Railway Construction,Engineering & Construction,40 Fuxing Rd.,Beijing,China,100855,China,"$158,203",366833.0,,www.crcc.cn,,[],[]
39,40,China Life Insurance,"Insurance: Life, Health (Stock)",17 Financial St.,Beijing,China,100033,China,"$157,095",182646.0,,www.chinalife.com.cn,Dairen Lin,[],[]
40,41,Mitsubishi,Trading,2-3-1 Marunouchi,Tokyo,Japan,100-8086,Japan,"$153,690",80728.0,MSBHF,www.mitsubishicorp.com,Takehiko Kakiuchi,"['Mumbai', 'Delhi', 'Chennai', 'Bangalore', 'Pune']","['Automotive', 'Electric Vehicles', 'Industrial Automation', 'Energy', 'Information Technology']"
41,42,Bank of China,Banks: Commercial and Savings,1 Fuxingmen Nei Ave.,Beijing,China,100818,China,"$152,409",306322.0,BACHY,www.boc.cn,Chen Siqing,"['Mumbai', 'New Delhi', 'Chennai', 'Bangalore']","['Corporate Banking', 'Retail Banking', 'Treasury', 'Investment Banking', 'Trade Finance', 'Technology']"
42,43,Home Depot,Specialty Retailers,2455 Paces Ferry Rd.,Atlanta,Georgia,30339,U.S.,"$151,157",490600.0,HD,www.homedepot.com,Edward P. Decker,[],[]
43,44,China Baowu Steel Group,Metals,1859 Shibo Ave.,Shanghai,China,200126,China,"$150,730",230884.0,,www.baowugroup.com,Chen Derong,[],['China Baowu Steel Group does not have offices or hire in India.']
44,45,Walgreens Boots Alliance,Food & Drug Stores,108 Wilmot Rd.,Deerfield,Illinois,60015,U.S.,"$148,579",258500.0,WBA,www.walgreensbootsalliance.com,Roz Brewer,[],['Walgreens Boots Alliance does not have any offices or hire in India.']
45,46,JD.com,Internet Services and Retailing,18 Kechuang 11 St.,Beijing,China,101111,China,"$147,526",385357.0,JD,www.jd.com,Richard Qiangdong Liu,[],"[""JD.com does not have a physical office in India, but it has a presence through its global operations. While it doesn't explicitly hire directly in India, it may have opportunities for remote work in various departments, such as technology, marketing, and business development.""]"
46,47,Allianz,"Insurance: Life, Health (Stock)",Königinstrasse 28,Munich,Germany,80802,Germany,"$144,517",155411.0,ALIZY,www.allianz.com,Oliver Bate,"['Mumbai', 'Delhi', 'Bangalore', 'Chennai', 'Hyderabad', 'Kolkata', 'Pune']","['Life Insurance', 'Health Insurance', 'General Insurance', 'Asset Management', 'Reinsurance', 'Technology', 'Operations']"
47,48,AXA,"Insurance: Life, Health (Stock)",25 Ave. Matignon,Paris,France,75008,France,"$144,447",92398.0,AXAHY,www.axa.com,Thomas Buberl,"['Mumbai', 'Delhi', 'Bangalore', 'Chennai', 'Hyderabad', 'Pune', 'Kolkata']","['Insurance', 'Asset Management', 'Investment Banking', 'Technology', 'Operations', 'Human Resources', 'Marketing']"
48,49,Marathon Petroleum,Petroleum Refining,539 S. Main St.,Findlay,Ohio,45840,U.S.,"$141,032",17700.0,MPC,www.marathonpetroleum.com,Michael J. Hennigan,[],['Marathon Petroleum does not have offices or hire in India.']
49,50,Elevance Health,Health Care: Insurance and Managed Care,220 Virginia Ave.,Indianapolis,Indiana,46204,U.S.,"$138,639",98200.0,ELV,www.elevancehealth.com,Gail K. Boudreaux,[],['Elevance Health does not have offices or hire in India. ']
50,51,Kroger,Food & Drug Stores,1014 Vine St.,Cincinnati,Ohio,45202,U.S.,"$137,888",420000.0,KR,www.thekrogerco.com,W. Rodney Mcmullen,[],[]
51,52,Gazprom,Energy,16 Nametkina St.,Moscow,Russia,117997,Russia,"$137,732",468000.0,,www.gazprom.com,Alexey B. Miller,[],['Gazprom does not have offices or hire in India.']
52,53,Ford Motor,Motor Vehicles & Parts,1 American Rd.,Dearborn,Michigan,48126,U.S.,"$136,341",183000.0,F,www.ford.com,,"['Chennai', 'Gurgaon', 'Hyderabad', 'Mumbai']","['Engineering', 'IT', 'Finance', 'Sales & Marketing', 'Human Resources']"
53,54,Verizon Communications,Telecommunications,1095 Ave. of the Americas,New York,New York,10036,U.S.,"$133,613",118400.0,VZ,www.verizon.com,Hans E. Vestberg,"['Bangalore', 'Chennai', 'Hyderabad', 'Pune']","['Engineering', 'Product Development', 'Customer Service', 'Sales', 'Marketing']"
54,55,Alibaba Group Holding,Internet Services and Retailing,969 Wenyixi Rd.,Hangzhou,China,311121,China,"$132,936",254941.0,BABA,www.alibabagroup.com,Daniel Zhang,"['Bangalore', 'Hyderabad', 'Gurgaon']","['Technology', 'Sales', 'Marketing', 'Operations', 'Finance', 'Human Resources']"
55,56,Fortum,Energy,Keilalahdentie 2-4,Espoo,Finland,02150,Finland,"$132,894",19140.0,,www.fortum.com,Markus Rauramo,['Mumbai'],['Renewable Energy']
56,57,China Mobile Communications,Telecommunications,29 Jinrong Ave.,Beijing,China,100033,China,"$131,913",451331.0,,www.10086.cn,Li Yue,[],['China Mobile Communications does not have offices or hire in India.']
57,58,China Minmetals,Metals,5 Sanlihe Rd.,Beijing,China,100044,China,"$131,800",193965.0,,www.minmetals.com,Tang Fuping,"['Mumbai', 'New Delhi']","['Mining', 'Metals Trading', 'Engineering', 'Logistics']"
58,59,BMW Group,Motor Vehicles & Parts,Petuelring 130,Munich,Germany,80788,Germany,"$131,522",118909.0,BMWYY,www.bmwgroup.com,Oliver Zipse,"['Mumbai', 'Pune', 'Chennai', 'Gurgaon']","['Sales and Marketing', 'After Sales', 'Manufacturing', 'Research and Development', 'IT']"
59,60,China Communications Construction,Engineering & Construction,85 Deshengmenwai St.,Beijing,China,100088,China,"$130,664",220519.0,,www.ccccltd.cn,Tongzhou Wang,[],"['China Communications Construction Company (CCCC) does not have a physical office or presence in India. However, it may potentially hire Indian personnel for international projects or through its subsidiaries and joint ventures that operate in other countries.']"
60,61,Honda Motor,Motor Vehicles & Parts,2-1-1 Minami-Aoyama,Tokyo,Japan,107-8556,Japan,"$129,547",204035.0,HMC,www.global.honda/,Takahiro Hachigo,"['New Delhi', 'Mumbai', 'Chennai', 'Bangalore']","['Manufacturing', 'Sales & Marketing', 'Research & Development', 'Finance', 'Human Resources', 'Information Technology']"
61,62,Deutsche Telekom,Telecommunications,Friedrich Ebert Allee 140,Bonn,Germany,53113,Germany,"$128,631",216528.0,DTEGY,www.telekom.com,Timotheus Hottges,"['Bangalore', 'Gurgaon', 'Mumbai', 'Pune', 'Hyderabad']","['Technology', 'Engineering', 'Product Management', 'Sales', 'Marketing', 'Finance', 'Human Resources', 'Operations']"
62,63,JPMorgan Chase,Banks: Commercial and Savings,383 Madison Ave.,New York,New York,10179,U.S.,"$127,202",271025.0,JPM,www.jpmorganchase.com,Jamie Dimon,"['Mumbai', 'Bangalore', 'Hyderabad', 'Chennai', 'Gurgaon']","['Technology', 'Finance', 'Operations', 'Risk Management', 'Corporate Banking']"
63,64,General Motors,Motor Vehicles & Parts,300 Renaissance Center,Detroit,Michigan,48265,U.S.,"$127,004",157000.0,GM,www.gm.com,Mary T. Barra,"['Gurugram', 'Pune', 'Bangalore']","['Engineering', 'IT', 'Finance', 'Marketing', 'Sales', 'Aftersales']"
64,65,China National Offshore Oil,"Mining, Crude-Oil Production",25 Chaoyangmenbei Dajie,Beijing,China,100010,China,"$126,920",80957.0,,www.cnooc.com.cn,,[],"['China National Offshore Oil Corporation (CNOOC) does not have any offices in India. Therefore, it does not hire in India.']"
65,66,Centene,Health Care: Insurance and Managed Care,7700 Forsyth Blvd.,St. Louis,Missouri,63105,U.S.,"$125,982",72500.0,CNC,www.centene.com,Michael Neidorff,[],['Centene does not currently have offices or hire in India.']
66,67,Lukoil,Petroleum Refining,11 Sretensky Blvd.,Moscow,Russia,101000,Russia,"$125,135",102424.0,,www.lukoil.com,Vagit Y. Alekperov,[],['Lukoil does not have offices or hire in India.']
67,68,SAIC Motor,Motor Vehicles & Parts,489 Weihai Rd.,Shanghai,China,200041,China,"$120,900",146145.0,,www.saicmotor.com,Wang Xiaoqiu,[],['SAIC Motor does not currently have an office in India and does not hire there.']
68,69,Shandong Energy Group,"Mining, Crude-Oil Production",10777 Jingshi Rd.,Jinan,China,250014,China,"$120,012",243124.0,,www.shandong-energy.com,Li Weimin,[],[]
69,70,China Resources,Pharmaceuticals,26 Harbour Rd.,Hong Kong,China,00000,China,"$119,601",362706.0,,www.crc.com.hk,,[],['China Resources does not have offices or hire in India.']
70,71,Meta Platforms,Internet Services and Retailing,1601 Willow Rd.,Menlo Park,California,94025,U.S.,"$117,929",71970.0,META,www.fb.com,Mark Zuckerberg,"['Hyderabad', 'Bangalore', 'New Delhi', 'Gurgaon']","['Engineering', 'Product Management', 'Marketing', 'Sales', 'Operations', 'Finance', 'Legal', 'Human Resources', 'Data Science']"
71,72,Assicurazioni Generali,"Insurance: Life, Health (Stock)",Piazza Duca degli Abruzzi 2,Trieste,Italy,34132,Italy,"$117,155",74621.0,ARZGY,www.generali.com,Philippe Donnet,[],['Assicurazioni Generali does not have offices in India. They do not hire in India.']
72,73,Comcast,Telecommunications,1 Comcast Center,Philadelphia,Pennsylvania,19103,U.S.,"$116,385",189000.0,CMCSA,www.comcastcorporation.com,Brian L. Roberts,[],['Comcast does not have offices or hire directly in India. They may have partnerships with Indian companies or work with contractors based in India.']
73,74,Phillips 66,Petroleum Refining,2331 CityWest Blvd.,Houston,Texas,77042,U.S.,"$114,852",14000.0,PSX,www.phillips66.com,Greg C. Garland,[],"['Phillips 66 does not have offices or directly hire in India. However, they may have partnerships or joint ventures with Indian companies.']"
74,75,Hengli Group,Textiles,1 Hengli Rd.,Suzhou City,China,215226,China,"$113,536",121430.0,,www.hengli.com,Chen Jianhua,[],['Hengli Group does not currently have any offices or hiring activities in India.']
75,76,Amer International Group,Metals,7888 Shennan Blvd.,Shenzhen,China,518040,China,"$112,049",22398.0,,www.amer.com.cn,,"['Mumbai', 'New Delhi', 'Bangalore', 'Chennai', 'Hyderabad']","['Finance', 'Operations', 'Technology', 'Sales', 'Marketing', 'Human Resources']"
76,77,Xiamen C&D,Trading,1699 Huandao E. Rd.,Xiamen,China,361008,China,"$111,557",36334.0,,www.chinacdc.com,,[],[]
77,78,Itochu,Trading,3-1-3 Umeda,Osaka,Japan,530-8448,Japan,"$109,434",136722.0,ITOCY,www.itochu.co.jp,Masahiro Okafuji,"['Mumbai', 'New Delhi', 'Chennai']","['Textiles', 'Metals', 'Machinery', 'Chemicals', 'Food', 'Energy', 'Information and Communication Technology', 'Real Estate', 'Finance']"
78,79,China FAW Group,Motor Vehicles & Parts,1 HongQi St.,Changchun,China,130013,China,"$109,405",118648.0,,www.faw.com.cn,,[],"[""FAW has a joint venture with India's Mahindra & Mahindra to manufacture vehicles in India.  It is possible that they have some hiring needs for this joint venture, but details would need to be obtained from the company directly.""]"
79,80,Sinopharm,Pharmaceuticals,20 Zhichun Rd.,Beijing,China,100191,China,"$108,779",201092.0,,www.sinopharm.com,Liu Jingzhen,[],['Sinopharm does not have offices or hire in India.']
80,81,China Post Group,"Mail, Package and Freight Delivery",3 Financial St.,Beijing,China,100808,China,"$108,669",748920.0,,www.chinapost.com.cn,,[],[]
81,82,Valero Energy,Petroleum Refining,1 Valero Way,San Antonio,Texas,78249,U.S.,"$108,332",9804.0,VLO,www.valero.com,Joseph W. Gorder,[],['Valero Energy does not have offices or hire in India.']
82,83,Nippon Telegraph and Telephone,Telecommunications,1-5-1 Ohtemachi,Tokyo,Japan,100-8116,Japan,"$108,216",333840.0,NTTYY,www.group.ntt,,"['Mumbai', 'New Delhi', 'Bangalore']","['Network Operations', 'Software Development', 'Business Development']"
83,84,Crédit Agricole,Banks: Commercial and Savings,12 Place des États-Unis,Montrouge,France,92127,France,"$107,695",75711.0,CRARY,www.credit-agricole.com,Philippe Brassac,[],"['Crédit Agricole does not have a physical presence in India. Therefore, it does not hire locally.']"
84,85,China Energy Investment,"Mining, Crude-Oil Production",22 Andingmen Xibinhelu Rd,Beijing,China,100011,China,"$107,095",317168.0,,www.ceic.com,Xiangxi Wang,[],[]
85,86,Dell Technologies,"Computers, Office Equipment",1 Dell Way,Round Rock,Texas,78682,U.S.,"$106,995",133000.0,DELL,www.delltechnologies.com,Michael S. Dell,"['Bengaluru', 'Hyderabad', 'Pune', 'Chennai', 'Gurgaon', 'Mumbai', 'Noida']","['Sales', 'Marketing', 'Engineering', 'Research & Development', 'Customer Support', 'Finance', 'Human Resources', 'Operations']"
86,87,Target,General Merchandisers,1000 Nicollet Mall,Minneapolis,Minnesota,55403,U.S.,"$106,005",450000.0,TGT,www.target.com,Brian C. Cornell,[],"['Target does not have physical offices or direct hiring in India. However, they may have partnerships with Indian companies or utilize outsourcing services.']"
87,88,Mitsui,Trading,1-2-1 Ohtemachi,Tokyo,Japan,100-8631,Japan,"$104,665",44336.0,MITSY,www.mitsui.com,Tatsuo Yasunaga,"['Mumbai', 'Delhi', 'Bangalore', 'Chennai', 'Hyderabad']","['Finance', 'Sales & Marketing', 'Operations', 'IT', 'Human Resources']"
88,89,China Southern Power Grid,Utilities,11 Kexiang Rd.,Guangzhou,China,510530,China,"$104,119",282006.0,,www.csg.cn,Meng Zhenping,[],[]
89,90,Enel,Utilities,Viale Regina Margherita 137,Rome,Italy,00198,Italy,"$104,052",66279.0,ENLAY,www.enel.com,Francesco Starace,[],['Enel does not currently have offices or hire in India.']
90,91,COFCO,Trading,8 Chao Yang Men S. St.,Beijing,China,100020,China,"$103,087",107829.0,,www.cofco.com,Jun Lyu,[],['COFCO does not have offices or hire in India.']
91,92,Hyundai Motor,Motor Vehicles & Parts,12 Heolleung-ro,Seoul,South Korea,06797,South Korea,"$102,775",121403.0,HYMTF,worldwide.hyundai.com,Euisun Chung,"['New Delhi', 'Gurugram', 'Chennai', 'Hyderabad', 'Pune', 'Kolkata', 'Bangalore']","['Sales and Marketing', 'Manufacturing', 'Research and Development', 'Human Resources', 'Finance', 'Information Technology']"
92,93,Fannie Mae,Diversified Financials,1100 15th St. N.W.,Washington,District Of Columbia,20005,U.S.,"$101,543",7400.0,FNMA,www.fanniemae.com,David Benson,[],['Fannie Mae does not have offices or hire in India.']
93,94,Japan Post Holdings,"Insurance: Life, Health (Stock)",2-3-1 Ohtemachi,Tokyo,Japan,100-8791,Japan,"$100,278",232112.0,,www.japanpost.jp,Hiroya Masuda,[],['Japan Post Holdings does not currently have offices or hire in India.']
94,95,Electricité de France,Utilities,22-30 Ave.de Wagram,Paris,France,75008,France,"$99,861",163423.0,ECIFY,www.edf.fr,Jean-Bernard Levy,[],['EDF Renewables India']
95,96,Huawei Investment & Holding,Network & Other Communications Equipment,Huawei Industrial Base,Shenzhen,China,518129,China,"$98,725",195000.0,,www.huawei.com,Ma Qianli,[],"['Huawei India employs across various departments, including research and development, sales and marketing, and customer service. You can find information about open positions on their official website and job boards.']"
96,97,United Parcel Service,"Mail, Package and Freight Delivery",55 Glenlake Pkwy. N.E.,Atlanta,Georgia,30328,U.S.,"$97,287",400945.0,UPS,www.ups.com,Carol B. Tome,"['Bangalore', 'Chennai', 'Delhi', 'Hyderabad', 'Kolkata', 'Mumbai', 'Pune']","['Operations', 'Customer Service', 'Sales', 'Marketing', 'Finance', 'Human Resources', 'IT', 'Engineering']"
97,98,Life Insurance Corp. of India,"Insurance: Life, Health (Stock)",Yogakshema,Mumbai,India,400021,India,"$97,267",105738.0,,www.licindia.in,Raj Kumar,"['Ahmedabad', 'Bangalore', 'Bhopal', 'Chandigarh', 'Chennai', 'Coimbatore', 'Delhi', 'Ernakulam', 'Ghaziabad', 'Gurgaon', 'Hyderabad', 'Indore', 'Jaipur', 'Kolkata', 'Lucknow', 'Mumbai', 'Nagpur', 'Navi Mumbai', 'Patna', 'Pune', 'Surat', 'Vadodara', 'Vijayawada', 'Visakhapatnam']","['Actuarial', 'Claims', 'Customer Service', 'Development', 'Finance', 'Human Resources', 'IT', 'Marketing', 'Operations', 'Sales', 'Underwriting']"
98,99,Deutsche Post DHL Group,"Mail, Package and Freight Delivery",Charles de Gaulle Str. 20,Bonn,Germany,53113,Germany,"$96,652",548042.0,DPSGY,www.dpdhl.com,Frank Appel,"['New Delhi', 'Mumbai', 'Bangalore', 'Chennai', 'Hyderabad', 'Kolkata', 'Pune', 'Ahmedabad', 'Gurgaon', 'Noida']","['Operations', 'Sales', 'Marketing', 'Finance', 'Human Resources', 'Technology', 'Customer Service']"
